Flight Number,Assigned Gate,Arrival Time,Departure Time,Near Gate
CA1401,143,06-13 18:55,06-13 20:30,Yes
EU1860,204,06-13 18:55,06-13 20:05,No
MU9877,131,06-13 18:55,06-13 20:05,Yes
TV9958,306,06-13 19:00,06-14 11:35,No
3U8954,501,06-13 19:05,06-13 20:20,No
EU2756,348,06-13 19:05,06-14 06:40,No
CA4396,169,06-13 19:15,06-13 20:35,Yes
MU6647,617,06-13 19:15,06-13 20:20,No
CA4506,613,06-13 19:20,06-13 20:25,No
CA4418,150,06-13 19:25,06-13 20:30,Yes
CA8269,108,06-13 19:30,06-13 20:40,Yes
3U8942,604,06-13 19:35,06-13 20:40,No
CA1749,602,06-13 19:35,06-13 21:00,No
3U8932,705,06-13 19:40,06-13 21:30,No
CA1407,504,06-13 19:45,06-13 21:00,No
CA8561,328,06-13 19:45,06-13 21:00,No
3U8706,309,06-13 19:50,06-14 07:15,No
TV9866,113,06-13 19:50,06-14 10:00,Yes
TV9966,161,06-13 19:50,06-14 13:40,Yes
CA8521,237,06-13 19:55,06-13 21:25,No
CZ6135,331,06-13 20:00,06-13 21:30,No
CA1739,314,06-13 20:10,06-13 21:15,No
ZH9547,420,06-13 20:15,06-13 21:20,No
CA4404,149,06-13 20:25,06-14 06:45,Yes
CA8981,144,06-13 20:25,06-13 21:35,Yes
TV9930,158,06-13 20:25,06-14 07:00,Yes
3U8888,239,06-13 20:30,06-13 21:50,No
CZ3427,364,06-13 20:40,06-13 22:00,No
TV9876,351,06-13 20:40,06-14 08:55,No
CA1425,711,06-13 20:45,06-13 22:00,No
TV9886,166,06-13 20:45,06-14 06:40,Yes
TV9846,319,06-13 20:50,06-14 08:40,No
TV9730,176,06-13 20:55,06-14 09:00,Yes
TV9840,230,06-13 20:55,06-14 06:10,No
CA4406,507,06-13 21:05,06-14 09:15,No
MU5415,341,06-13 21:05,06-14 09:00,No
3U8696,605,06-13 21:10,06-14 08:20,No
3U8984,164,06-13 21:10,06-14 08:55,Yes
TV9956,603,06-13 21:10,06-14 06:30,No
ZH9409,116,06-13 21:10,06-13 22:30,Yes
CA4032,410,06-13 21:20,06-14 07:20,No
3U8994,175,06-13 21:30,06-14 08:05,Yes
CA4104,169,06-13 21:30,06-14 09:15,Yes
TV9954,313,06-13 21:30,06-14 09:15,No
3U8872,618,06-13 21:35,06-14 07:00,No
EU1836,111,06-13 21:40,06-14 06:25,Yes
3U8938,207,06-13 21:50,06-13 23:00,No
3U8698,505,06-13 21:55,06-14 07:30,No
CZ8849,203,06-13 21:55,06-14 08:30,No
TV9868,101,06-13 21:55,06-14 09:20,Yes
CA4516,227,06-13 22:00,06-14 08:00,No
EU2250,218,06-13 22:00,06-14 06:55,No
TV9923,612,06-13 22:00,06-14 10:10,No
TV9804,421,06-13 22:10,06-14 08:15,No
TV9922,329,06-13 22:10,06-14 10:00,No
EU2984,708,06-13 22:20,06-14 07:30,No
3U8896,301,06-13 22:25,06-14 06:55,No
3U8916,122,06-13 22:25,06-14 07:00,Yes
3U8966,171,06-13 22:25,06-14 06:40,Yes
3U8768,233,06-13 22:30,06-14 06:45,No
CA2969,151,06-13 22:30,06-14 09:15,Yes
3U8740,613,06-13 22:40,06-14 20:40,No
CA4598,501,06-13 22:40,06-14 09:00,No
CZ3413,105,06-13 22:40,06-14 09:00,Yes
MU5168,160,06-13 22:40,06-14 09:15,Yes
CA4282,354,06-13 22:50,06-14 08:15,No
EU2712,614,06-13 22:55,06-14 08:30,No
MU5417,601,06-13 22:55,06-14 07:55,No
3U8728,307,06-13 23:00,06-14 06:55,No
CA4230,404,06-13 23:00,06-14 07:20,No
CA4314,131,06-13 23:00,06-14 10:00,Yes
EU6668,317,06-13 23:00,06-14 09:55,No
3U8926,145,06-13 23:05,06-14 08:00,Yes
CA4528,134,06-13 23:15,06-14 08:15,Yes
EU2260,312,06-13 23:15,06-14 06:40,No
